00:00:00.000 prev=<HOME>, next=SOCIAL
15:54:33.183 prev=GAMES, next=GAMES
15:55:02.841 prev=<HOME>, next=COMICS
15:55:24.059 prev=COMICS, next=SOCIAL
16:34:19.462 prev=<HOME>, next=GAMES
16:34:57.777 prev=<HOME>, next=SOCIAL
16:35:18.374 prev=<HOME>, next=GAMES
16:41:03.586 prev=GAMES, next=TOOLS
16:41:26.857 prev=TOOLS, next=COMICS
16:45:19.439 prev=<HOME>, next=COMICS
16:45:53.584 prev=COMICS, next=COMMUNICATION
16:46:25.920 prev=<HOME>, next=SOCIAL
16:47:14.492 prev=<HOME>, next=COMMUNICATION
16:47:54.907 prev=<HOME>, next=BUSINESS
16:48:35.285 prev=BUSINESS, next=GAMES
16:49:18.541 prev=GAMES, next=NEWS_AND_MAGAZINES
16:49:38.703 prev=NEWS_AND_MAGAZINES, next=BUSINESS
17:03:46.940 prev=<HOME>, next=BUSINESS
17:04:20.056 prev=BUSINESS, next=HEALTH_AND_FITNESS
17:05:09.110 prev=HEALTH_AND_FITNESS, next=BUSINESS
17:09:14.452 prev=BUSINESS, next=COMMUNICATION
17:09:52.425 prev=COMMUNICATION, next=TOOLS
17:10:35.024 prev=<HOME>, next=GAMES
17:11:15.517 prev=GAMES, next=BUSINESS
17:11:55.852 prev=BUSINESS, next=BUSINESS
17:18:31.967 prev=<HOME>, next=TOOLS
17:19:09.711 prev=TOOLS, next=COMMUNICATION
17:19:40.466 prev=COMMUNICATION, next=SOCIAL
17:20:02.470 prev=SOCIAL, next=GAMES
17:20:33.732 prev=GAMES, next=SOCIAL
17:21:56.655 prev=SOCIAL, next=SOCIAL
17:22:45.840 prev=SOCIAL, next=TOOLS
17:23:05.950 prev=TOOLS, next=COMICS
17:23:32.062 prev=COMICS, next=GAMES
17:24:13.466 prev=GAMES, next=SOCIAL
17:24:46.256 prev=SOCIAL, next=HEALTH_AND_FITNESS
17:25:06.851 prev=HEALTH_AND_FITNESS, next=COMMUNICATION
17:25:54.341 prev=COMMUNICATION, next=GAMES
17:26:39.235 prev=GAMES, next=BUSINESS
17:27:14.636 prev=<HOME>, next=BUSINESS
17:42:32.772 prev=<HOME>, next=BUSINESS
17:53:15.357 prev=BUSINESS, next=SOCIAL
17:53:59.211 prev=SOCIAL, next=NEWS_AND_MAGAZINES
17:54:43.747 prev=<HOME>, next=COMICS
18:07:38.094 prev=COMICS, next=COMICS
18:38:27.806 prev=COMICS, next=COMMUNICATION
18:38:51.049 prev=<HOME>, next=BUSINESS
18:39:12.289 prev=BUSINESS, next=BUSINESS
18:48:16.919 prev=<HOME>, next=COMICS
18:48:42.488 prev=COMICS, next=SOCIAL
18:49:09.452 prev=SOCIAL, next=SOCIAL
18:49:33.838 prev=<HOME>, next=COMICS
18:50:23.311 prev=COMICS, next=SOCIAL
18:56:57.133 prev=SOCIAL, next=GAMES
18:57:20.235 prev=GAMES, next=SOCIAL
18:58:58.033 prev=<HOME>, next=BUSINESS
19:05:36.397 prev=<HOME>, next=TOOLS
19:15:26.579 prev=<HOME>, next=COMMUNICATION
19:15:53.746 prev=COMMUNICATION, next=BUSINESS
19:16:25.432 prev=BUSINESS, next=SOCIAL
19:16:51.446 prev=<HOME>, next=COMMUNICATION
19:17:20.679 prev=COMMUNICATION, next=TOOLS
19:17:55.864 prev=TOOLS, next=SOCIAL
19:18:34.081 prev=SOCIAL, next=GAMES
19:19:20.609 prev=GAMES, next=GAMES
19:30:31.560 prev=GAMES, next=TOOLS
19:40:59.172 prev=TOOLS, next=TOOLS
19:41:30.012 prev=<HOME>, next=SOCIAL
19:49:29.179 prev=SOCIAL, next=SOCIAL
19:50:07.410 prev=SOCIAL, next=SOCIAL
19:50:57.333 prev=<HOME>, next=NEWS_AND_MAGAZINES
19:51:34.503 prev=<HOME>, next=COMMUNICATION
19:51:54.763 prev=COMMUNICATION, next=GAMES
19:52:41.000 prev=<HOME>, next=COMICS
20:05:27.254 prev=COMICS, next=GAMES
20:05:59.642 prev=GAMES, next=BUSINESS
20:06:31.540 prev=BUSINESS, next=HEALTH_AND_FITNESS
20:07:12.073 prev=HEALTH_AND_FITNESS, next=COMICS
20:15:18.009 prev=<HOME>, next=BUSINESS
20:19:38.039 prev=BUSINESS, next=BUSINESS
20:21:02.553 prev=<HOME>, next=GAMES
20:21:34.779 prev=<HOME>, next=BUSINESS
20:22:05.331 prev=BUSINESS, next=COMICS
20:22:54.406 prev=COMICS, next=COMMUNICATION
20:23:23.139 prev=<HOME>, next=HEALTH_AND_FITNESS
20:23:43.819 prev=HEALTH_AND_FITNESS, next=COMMUNICATION
20:24:20.305 prev=COMMUNICATION, next=BUSINESS
20:25:08.621 prev=BUSINESS, next=COMMUNICATION
20:34:00.192 prev=COMMUNICATION, next=BUSINESS
20:34:35.541 prev=<HOME>, next=BUSINESS
20:35:06.461 prev=BUSINESS, next=NEWS_AND_MAGAZINES
20:36:37.327 prev=NEWS_AND_MAGAZINES, next=GAMES
20:42:06.275 prev=<HOME>, next=NEWS_AND_MAGAZINES
20:55:56.374 prev=NEWS_AND_MAGAZINES, next=GAMES
20:56:33.266 prev=GAMES, next=GAMES
20:57:21.826 prev=GAMES, next=GAMES
20:59:58.578 prev=GAMES, next=SOCIAL
21:00:32.858 prev=SOCIAL, next=TOOLS
21:00:54.823 prev=TOOLS, next=GAMES
21:01:38.274 prev=GAMES, next=GAMES
21:02:27.785 prev=GAMES, next=BUSINESS
21:03:07.376 prev=BUSINESS, next=GAMES
21:03:28.420 prev=<HOME>, next=GAMES
21:21:26.632 prev=<HOME>, next=GAMES
21:25:13.320 prev=<HOME>, next=TOOLS
21:28:33.648 prev=TOOLS, next=SOCIAL
21:29:20.373 prev=SOCIAL, next=SOCIAL
21:30:59.519 prev=SOCIAL, next=GAMES
21:31:48.044 prev=GAMES, next=GAMES
21:32:12.262 prev=<HOME>, next=GAMES
21:37:03.712 prev=GAMES, next=TOOLS
21:37:33.832 prev=TOOLS, next=SOCIAL
21:38:03.593 prev=<HOME>, next=COMICS
21:38:45.306 prev=COMICS, next=GAMES
21:39:32.345 prev=GAMES, next=COMMUNICATION
21:43:45.279 prev=COMMUNICATION, next=NEWS_AND_MAGAZINES
21:52:46.978 prev=<HOME>, next=COMICS
21:55:04.026 prev=<HOME>, next=COMICS
21:55:24.195 prev=<HOME>, next=SOCIAL
21:55:53.132 prev=SOCIAL, next=COMICS
22:05:57.495 prev=COMICS, next=HEALTH_AND_FITNESS
22:06:18.081 prev=HEALTH_AND_FITNESS, next=BUSINESS
22:07:12.666 prev=<HOME>, next=BUSINESS
22:07:48.218 prev=<HOME>, next=HEALTH_AND_FITNESS
22:08:12.339 prev=HEALTH_AND_FITNESS, next=COMICS
22:08:42.039 prev=COMICS, next=SOCIAL
22:14:52.833 prev=SOCIAL, next=COMICS
22:15:13.728 prev=<HOME>, next=SOCIAL
22:16:02.928 prev=SOCIAL, next=SOCIAL
22:16:42.127 prev=<HOME>, next=TOOLS
22:17:13.749 prev=TOOLS, next=SOCIAL
22:19:39.728 prev=<HOME>, next=COMICS
22:20:18.395 prev=COMICS, next=GAMES
22:22:17.320 prev=GAMES, next=GAMES
22:22:39.784 prev=GAMES, next=SOCIAL
22:23:03.314 prev=SOCIAL, next=COMMUNICATION
22:23:34.798 prev=COMMUNICATION, next=SOCIAL
22:24:21.372 prev=SOCIAL, next=COMICS
22:25:02.616 prev=COMICS, next=BUSINESS
22:29:01.642 prev=<HOME>, next=HEALTH_AND_FITNESS
22:34:34.355 prev=<HOME>, next=COMMUNICATION
22:36:13.470 prev=<HOME>, next=COMICS
22:57:50.972 prev=COMICS, next=GAMES
23:01:22.238 prev=GAMES, next=HEALTH_AND_FITNESS
23:29:26.373 prev=<HOME>, next=SOCIAL
23:35:34.894 prev=SOCIAL, next=BUSINESS
23:35:58.725 prev=BUSINESS, next=COMICS
23:50:40.845 prev=<HOME>, next=GAMES
23:51:17.101 prev=GAMES, next=GAMES
23:51:57.246 prev=<HOME>, next=NEWS_AND_MAGAZINES
23:52:30.289 prev=NEWS_AND_MAGAZINES, next=SOCIAL
23:55:22.488 prev=<HOME>, next=BUSINESS
23:55:55.158 prev=BUSINESS, next=GAMES
23:59:53.119 prev=GAMES, next=GAMES
